#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
47.37101,9,843.483905
57.316395,11,844.365684
34.487028,7,844.940705
44.222556,10,845.72688
39.194682,8,846.355072
64.11274,14,847.470762
44.385494,10,848.27299
34.393143,7,848.841812
49.221342,10,849.624501
62.333703,12,850.555321
54.250483,12,851.482625
72.580978,14,852.57587
63.343153,11,853.457024
34.444166,7,854.024009
80.70422,15,855.219222
39.455611,8,855.873876
44.439577,10,856.656229
34.327846,7,857.229223
39.336427,8,857.867977
61.504054,12,858.813309
47.755042,9,859.534119
76.94196,14,860.597767
54.118113,11,861.462054
59.036984,13,862.462179
44.314383,9,863.17128
39.28596,8,863.806748
49.282068,10,864.605449
58.486148,11,865.468473
34.472536,8,866.112113
39.349307,9,866.806142
66.128832,13,867.815043
85.481111,15,869.025784
54.217437,12,869.943935
44.204632,9,870.649533
103.432352,22,872.308342
93.845929,20,873.880454
68.975412,14,874.99967
88.220934,16,876.280417
77.016496,13,877.308618
96.702264,20,878.850127
88.733402,19,880.291127
39.349908,8,880.910361
118.532619,21,882.549517
44.392381,10,883.352241
63.543338,12,884.315851
78.30828,13,885.309121
64.721267,11,886.205297
69.041329,13,887.244232
104.80716,20,888.845757
48.445767,9,889.552513
59.142273,13,890.569942
78.472793,16,891.829308
54.209761,12,892.76098
70.700624,13,893.864207
53.644592,11,894.745904
62.153597,12,895.702257
66.847491,12,896.633543
72.351258,13,897.695073
91.894296,19,899.194059
108.363798,22,900.996346
49.199804,10,901.798368
59.221021,13,902.811239
39.282431,8,903.451258
63.294615,13,904.459653
78.367641,16,905.744378
85.769268,17,907.064362
69.713247,12,907.988551
49.361216,11,908.862206
73.940322,16,910.088369
44.348951,10,910.865065
69.107841,15,912.069422
83.736707,18,913.455215
34.51632,7,914.023064
80.749656,14,915.14895
63.409226,13,916.162082
72.922513,14,917.251731
49.205882,11,918.093202
39.373598,8,918.738726
62.936418,11,919.594542
73.882921,15,920.74863
54.30553,12,921.680588
64.046205,13,922.713619
49.276885,10,923.515636
77.28694,13,924.533784
78.887569,17,925.870058
98.855821,21,927.503857
63.963544,14,928.60223
77.218601,13,929.614038
44.494734,10,930.392908
59.089812,12,931.342446
52.416126,11,932.214883
39.414352,9,932.919134
44.430177,10,933.70559
44.489933,10,934.48919
39.402855,9,935.195665
49.233842,10,935.997462
44.293647,10,936.767533
115.211886,18,938.198782
61.312257,12,939.151855
66.154,13,940.164068
44.28629,10,940.96036
81.909792,17,942.263821
34.46857,8,942.863585
103.05151,18,944.280097
53.665919,11,945.143142
49.2672,11,946.000032
49.14126,10,946.793489
63.997175,13,947.796599
51.373002,11,948.652542
44.330498,9,949.375748
49.346719,11,950.211951
59.268506,13,951.223043
48.117344,9,951.932807
46.369261,9,952.643046
44.338235,10,953.425952
49.193941,8,954.05604
44.496957,10,954.829075
54.20226,11,955.719688
58.974385,13,956.781828
49.252427,10,957.592514
71.136502,15,958.762591
108.704997,23,960.566455
107.210985,19,962.029232
43.782327,9,962.739358
39.491161,9,963.450338
39.363189,8,964.108559
72.581939,14,965.187122
72.765753,13,966.190658
44.508303,10,966.971325
44.206566,9,967.678341
39.32221,8,968.32092
39.252254,8,968.957217
44.331135,10,969.728897
72.818043,15,970.918912
64.080298,13,971.954147
83.703146,18,973.313519
69.018491,14,974.54808
44.288153,10,975.32725
108.616146,23,977.116558
34.382583,7,977.688912
95.600733,17,979.050009
80.878713,16,980.298844
78.808125,16,981.566603
44.263701,9,982.2841
58.674267,11,983.175115
73.816798,15,984.328478
44.26304,9,985.047074
39.347785,9,985.758201
44.457347,10,986.55361
59.081787,13,987.544095
66.210596,14,988.630357
128.244533,23,990.426832
59.22351,12,991.372241
44.367803,9,992.088713
63.625132,13,993.142699
63.419454,12,994.085655
44.363499,10,994.87031
49.336583,11,995.727678
119.909506,23,997.546381
87.312917,17,998.912465
39.305023,8,999.543542
133.979337,19,1001.054301
54.201563,11,1001.926517
70.177588,14,1003.007034
67.675476,12,1003.948291
97.453396,17,1005.300523
93.64735,19,1006.823838
39.255496,8,1007.475059
68.498512,14,1008.586702
47.885206,9,1009.316977
80.298933,15,1010.502429
93.698061,20,1012.057199
39.295226,9,1012.76786
44.485011,10,1013.563064
39.450715,9,1014.291218
54.207088,12,1015.192344
102.536264,21,1016.77842
49.149784,10,1017.57001
110.744043,21,1019.236621
